data_homologacao,numero_homologacao,fabricante,brand,modelo,nome_comercial,tipo_produto,situacao,pais
15/07/2019,040751600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G610M/DS,Galaxy J7 Prime,Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
09/02/2010,024200801963,"Samsung Electronics Co., Ltd.",SAMSUNG,SCX-4828FN,SCX-4828FN,Equipamento de Fac-Símile,Homologação Suspensa,Coréia
15/07/2019,040751600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G610M,Galaxy J7 Prime,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
15/07/2019,040751600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G610M/DS,Galaxy J7 Prime,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
15/10/2010,021951001993,Apple Inc.,APPLE,A1367,A1367,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
17/04/2019,018631301993,Apple Inc.,APPLE,A1521,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
09/09/2011,019531101993,Apple Inc.,APPLE,A1408,A1408,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
31/10/2007,015420703269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,YP-P2,YP-P2,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
27/01/2012,021591100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S5360B,GT-S5360B,Telefone Móvel Celular,Homologação Suspensa,Coréia
17/08/2012,022711200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-E2262,GT-E2262,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/02/2013,001611300953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S3802W,GT-S3802W,Telefone Móvel Celular,Homologação Suspensa,Coréia
26/06/2009,007190901993,Apple Inc.,APPLE,A1302,A1302,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
02/08/2017,021891402701,Harman International Industries Inc.,JBL,CINEMA SB350,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
26/08/2011,019541101993,Apple Inc.,APPLE,A1409,A1409,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
10/05/2012,012861200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S7530L,GT-S7530L,Telefone Móvel Celular,Homologação Suspensa,Coréia
24/06/2014,012121408636,"Samsung Electronics Co., Ltd.",SAMSUNG,NX3000,NX3000,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
09/07/2012,017371203269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,NX1000,NX1000,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
29/03/2012,008771200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-E1205,GT-E1205,Telefone Móvel Celular,Homologação Suspensa,Coréia
30/05/2011,011731100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-E2220,GT-E2220,Telefone Móvel Celular,Homologação Suspensa,Coréia
03/01/2017,044471500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J320M (Galaxy J3 2016),SM-J320M (Galaxy J3 2016),Telefone Móvel Celular,Homologação Suspensa,Coréia
03/01/2017,044471500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J320M/DS (Galaxy J3 2016),SM-J320M/DS (Galaxy J3 2016),Telefone Móvel Celular,Homologação Suspensa,Coréia
15/07/2019,040751600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G610M,Galaxy J7 Prime,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/07/2019,040751600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G610M/DS,Galaxy J7 Prime,Telefone Móvel Celular,Homologação Suspensa,Coréia
17/12/2004,011780400953,Samsung Electronics Co Ltd.,SAMSUNG,SCH-A815,SCH-A815,Telefone Móvel Celular,Homologação Cancelada,Coréia
31/05/2011,014011100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-C3752,GT-C3752,Telefone Móvel Celular,Homologação Suspensa,Coréia
31/05/2013,013741300953,Samsung Electronics Co Ltd.,SAMSUNG,SM-T210,SM-T210,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
23/05/2013,012901300953,Samsung Electronics Co Ltd.,SAMSUNG,SM-T310,SM-T310,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
07/07/2014,008451401739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,EP-PG900IBP,EP-PG900IBP,Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
24/05/2013,009321300953,Samsung Electronics Co Ltd.,SAMSUNG,GT-P8110,GT-P8110,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
18/11/2014,023981207120,Harman International Industries Inc.,JBL,JBL Soundfly BT,JBL Soundfly BT,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
06/07/2015,017251501739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,EO-MG920,EO-MG920,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
07/08/2015,014151500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-T810,SM-T810,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
03/10/2019,054931601739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,AA-RR1D9TW,,Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
25/02/2014,000221400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-P905M,SM-P905M,Estação Terminal de Acesso,Homologação Suspensa,Coréia
31/07/2015,012591500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-T815Y,SM-T815Y,Estação Terminal de Acesso,Homologação Suspensa,Coréia
11/04/2016,003991603269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,WCK720Q,WCK720Q,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
04/10/2011,021051000953,Samsung Electronics Co Ltd.,SAMSUNG,GT-P1000L,GT-P1000L,Estação Terminal de Acesso,Homologação Suspensa,Coréia
28/06/2011,012531100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-P7300,GT-P7300,Estação Terminal de Acesso,Homologação Suspensa,Coréia
03/10/2019,054911601739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,AA-MR1D9TW,,Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
13/03/2020,076271701993,Apple Inc.,APPLE,A1862,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730F/DS,(GALAXY A8+),Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
06/07/2012,016891203269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,CLX-FAX260,CLX-FAX260,Modem Analógico,Homologação Cancelada,Coréia
04/07/2013,020341300953,Samsung Electronics Co Ltd.,SAMSUNG,SM-C101,SM-C101,Telefone Móvel Celular,Homologação Suspensa,Coréia
01/04/2016,006391400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G900M (Galaxy S5),SM-G900M (Galaxy S5),Telefone Móvel Celular,Homologação Suspensa,Coréia
19/12/2003,014680301963,"Samsung Electronics Co., Ltd.",SAMSUNG,WorkCentre Pro M15i,WorkCentre Pro M15i,Equipamento de Fac-Símile,Homologação Cancelada,Coréia
21/02/2019,044721500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J105B/DL,Galaxy J1 mini,Telefone Móvel Celular,Homologação Suspensa,Coréia
22/09/2009,020070900953,Samsung Electronics Co Ltd.,SAMSUNG,GT-M8910B,GT-M8910B,Telefone Móvel Celular,Homologação Suspensa,Coréia
21/09/2011,022811100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-B5510B,GT-B5510B,Telefone Móvel Celular,Homologação Suspensa,Coréia
19/07/2013,020371300953,Samsung Electronics Co Ltd.,SAMSUNG,GT-I8260L,GT-I8260L,Telefone Móvel Celular,Homologação Suspensa,Coréia
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730F/DS,(GALAXY A8+),Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730X,(GALAXY A8+),Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Coréia
24/08/2012,023431200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-E1263B,GT-E1263B,Telefone Móvel Celular,Homologação Suspensa,Coréia
17/05/2017,016851307120,Harman International Industries Inc.,JBL,AVR1X10BT,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
09/02/2010,022050801963,"Samsung Electronics Co., Ltd.",SAMSUNG,CLX-6240FX,CLX-6240FX,Equipamento de Fac-Símile,Homologação Suspensa,Coréia
22/05/2017,017701507120,Harman International Industries Inc.,JBL,ONYX STUDIO 2,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
24/01/2017,022571307120,Harman International Industries Inc.,JBL,JBL SPARK,JBL SPARK,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730F/DS,(GALAXY A8+),Telefone Móvel Celular,Homologação Suspensa,Coréia
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730X,(GALAXY A8+),Telefone Móvel Celular,Homologação Suspensa,Coréia
13/09/2018,041201600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G532MT,Galaxy J2 Prime,Telefone Móvel Celular,Homologação Suspensa,Coréia
01/04/2014,006691401739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,SM-R380,SM-R380,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
22/03/2013,001791303269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,WIBT40E,WIBT40E,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
12/06/2012,009491200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-I8160L,GT-I8160L,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/08/2014,021831400953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G800Y,SM-G800Y,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/10/2009,021580900953,Samsung Electronics Co Ltd.,SAMSUNG,GT-B3410,GT-B3410,Telefone Móvel Celular,Homologação Suspensa,Coréia
21/09/2011,021641100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-E3217B,GT-E3217B,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/04/2019,015011503269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,ProXpress M4080FX,ProXpress M4080FX,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
21/02/2019,044721500953,Samsung Electronics Co Ltd.,SAMSUNG,SM-J105B/DL,Galaxy J1 mini,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
29/01/2018,075121707120,Harman International Industries Inc.,JBL,PV602,,Transceptor de Radiação Restrita,Homologação Cancelada,Estados Unidos da América
